,region,indicateur,Unit,Value
0,Dakar,le plus eleve,%,56.6
1,Dakar,Le plus bas,%,0.0
2,Ziguinchor,le plus eleve,%,12.13
3,Ziguinchor,Le plus bas,%,6.69
4,Diourbel,le plus eleve,%,12.55
5,Diourbel,Le plus bas,%,19.27
6,Saint-Louis,le plus eleve,%,17.99
7,Saint-Louis,Le plus bas,%,19.91
8,Tambacounda,le plus eleve,%,3.01
9,Tambacounda,Le plus bas,%,52.04
10,Kaolack,le plus eleve,%,10.58
11,Kaolack,Le plus bas,%,20.38
12,Thiès,le plus eleve,%,16.75
13,Thiès,Le plus bas,%,8.49
14,Louga,le plus eleve,%,11.76
15,Louga,Le plus bas,%,20.05
16,Fatick,le plus eleve,%,3.8
17,Fatick,Le plus bas,%,33.24
18,Kolda,le plus eleve,%,2.99
19,Kolda,Le plus bas,%,56.78
20,Matam,le plus eleve,%,6.11
21,Matam,Le plus bas,%,24.92
22,Kaffrine,le plus eleve,%,0.71
23,Kaffrine,Le plus bas,%,57.85
24,Kédougou,le plus eleve,%,1.61
25,Kédougou,Le plus bas,%,35.75
26,Sédhiou,le plus eleve,%,1.13
27,Sédhiou,Le plus bas,%,41.51
