,region,indicateur,Unit,Value
0,Dakar,Pourcentage utilisant pour boire l'eau d'une source amelioree,%,99.1
1,Ziguinchor,Pourcentage utilisant pour boire l'eau d'une source amelioree,%,43.5
2,Diourbel,Pourcentage utilisant pour boire l'eau d'une source amelioree,%,69.9
3,Saint-Louis,Pourcentage utilisant pour boire l'eau d'une source amelioree,%,85.2
4,Tambacounda,Pourcentage utilisant pour boire l'eau d'une source amelioree,%,51.7
5,Kaolack,Pourcentage utilisant pour boire l'eau d'une source amelioree,%,83.5
6,Thiès,Pourcentage utilisant pour boire l'eau d'une source amelioree,%,87.8
7,Louga,Pourcentage utilisant pour boire l'eau d'une source amelioree,%,95.2
8,Fatick,Pourcentage utilisant pour boire l'eau d'une source amelioree,%,62.9
9,Kolda,Pourcentage utilisant pour boire l'eau d'une source amelioree,%,20.8
10,Matam,Pourcentage utilisant pour boire l'eau d'une source amelioree,%,84.1
11,Kaffrine,Pourcentage utilisant pour boire l'eau d'une source amelioree,%,83.2
12,Kédougou,Pourcentage utilisant pour boire l'eau d'une source amelioree,%,61.6
13,Sédhiou,Pourcentage utilisant pour boire l'eau d'une source amelioree,%,12.6
