,indicateurs,secteurs-d-activités,Date,Value
0,EFFECTIFS DES SALARIES,Activités extractives,2020,3456.0
1,EFFECTIFS DES SALARIES,Activités extractives,2020,2657.0
2,EFFECTIFS DES SALARIES,Activités extractives,2020,3370.0
3,EFFECTIFS DES SALARIES,Activités extractives,2020,3626.0
4,EFFECTIFS DES SALARIES,Activités extractives,2021,3913.0
5,EFFECTIFS DES SALARIES,Activités extractives,2021,3789.0
6,EFFECTIFS DES SALARIES,Activités extractives,2021,3843.0
7,EFFECTIFS DES SALARIES,Activités extractives,2021,3851.0
8,EFFECTIFS DES SALARIES,Activités extractives,2022,4115.0
9,EFFECTIFS DES SALARIES,Activités extractives,2022,4045.0
10,EFFECTIFS DES SALARIES,Activités extractives,2022,4238.0
11,EFFECTIFS DES SALARIES,Activités extractives,2022,4306.0
12,EFFECTIFS DES SALARIES,INDUSTRIE dont …,2020,120297.414860681
13,EFFECTIFS DES SALARIES,INDUSTRIE dont …,2020,111660.628482972
14,EFFECTIFS DES SALARIES,INDUSTRIE dont …,2020,113472.566563468
15,EFFECTIFS DES SALARIES,INDUSTRIE dont …,2020,101922.250773994
16,EFFECTIFS DES SALARIES,INDUSTRIE dont …,2021,124027.772462539
17,EFFECTIFS DES SALARIES,INDUSTRIE dont …,2021,118450.888544892
18,EFFECTIFS DES SALARIES,INDUSTRIE dont …,2021,114226.569659443
19,EFFECTIFS DES SALARIES,INDUSTRIE dont …,2021,116428.229102167
20,EFFECTIFS DES SALARIES,INDUSTRIE dont …,2022,115145.427244582
21,EFFECTIFS DES SALARIES,INDUSTRIE dont …,2022,112236.092879257
22,EFFECTIFS DES SALARIES,INDUSTRIE dont …,2022,111719.625
23,EFFECTIFS DES SALARIES,INDUSTRIE dont …,2022,109669.0
24,EFFECTIFS DES SALARIES,Activités de fabrication,2020,111757.414860681
25,EFFECTIFS DES SALARIES,Activités de fabrication,2020,103919.628482972
26,EFFECTIFS DES SALARIES,Activités de fabrication,2020,105318.566563468
27,EFFECTIFS DES SALARIES,Activités de fabrication,2020,93663.2507739938
28,EFFECTIFS DES SALARIES,Activités de fabrication,2021,114838.182662539
29,EFFECTIFS DES SALARIES,Activités de fabrication,2021,108745.888544892
30,EFFECTIFS DES SALARIES,Activités de fabrication,2021,104358.569659443
31,EFFECTIFS DES SALARIES,Activités de fabrication,2021,106552.229102167
32,EFFECTIFS DES SALARIES,Activités de fabrication,2022,104992.427244582
33,EFFECTIFS DES SALARIES,Activités de fabrication,2022,102120.092879257
34,EFFECTIFS DES SALARIES,Activités de fabrication,2022,101533.625
35,EFFECTIFS DES SALARIES,Activités de fabrication,2022,99361.0
36,EFFECTIFS DES SALARIES,Production et distribution d'électricité et de gaz,2020,3397.0
38,EFFECTIFS DES SALARIES,Production et distribution d'électricité et de gaz,2020,3097.0
39,EFFECTIFS DES SALARIES,Production et distribution d'électricité et de gaz,2020,3168.0
40,EFFECTIFS DES SALARIES,Production et distribution d'électricité et de gaz,2021,3513.0
41,EFFECTIFS DES SALARIES,Production et distribution d'électricité et de gaz,2021,3702.0
42,EFFECTIFS DES SALARIES,Production et distribution d'électricité et de gaz,2021,3719.0
44,EFFECTIFS DES SALARIES,Production et distribution d'électricité et de gaz,2022,3719.0
