,indicateur,regions,Value
0,Recherche d'emploi,Dakar,8.7
1,Recherche d'emploi,Ziguinchor,13.7
2,Recherche d'emploi,Diourbel,14.7
3,Recherche d'emploi,Saint-Louis,9.7
4,Recherche d'emploi,Tambacounda,10.6
5,Recherche d'emploi,Kaolack,10.4
6,Recherche d'emploi,Thiès,13.3
7,Recherche d'emploi,Louga,8.5
8,Recherche d'emploi,Fatick,14.9
9,Recherche d'emploi,Kolda,11.0
10,Recherche d'emploi,Matam,15.4
11,Recherche d'emploi,Kaffrine,7.4
12,Recherche d'emploi,Kedougou,9.6
13,Recherche d'emploi,Sedhiou,10.3
