,cycle,région,sexe,Date,Value
84,Prescolaire,Dakar,Total,1970,9282.0
85,Prescolaire,Dakar,Total,1970,9029.0
86,Prescolaire,Dakar,Total,1970,9157.0
87,Prescolaire,Dakar,Total,1970,8770.0
88,Prescolaire,Dakar,Total,1970,9400.0
89,Prescolaire,Dakar,Total,1970,9857.0
90,Prescolaire,Dakar,Total,1970,8508.0
91,Prescolaire,Dakar,Total,1970,9596.0
92,Prescolaire,Dakar,Total,1970,11509.0
93,Prescolaire,Dakar,Total,1970,11388.0
94,Prescolaire,Dakar,Total,1970,16514.0
95,Prescolaire,Dakar,Total,1970,12324.0
96,Prescolaire,Dakar,Total,1970,19853.0
97,Prescolaire,Dakar,Total,1970,26568.0
98,Prescolaire,Dakar,Total,1970,31910.0
99,Prescolaire,Dakar,Total,1970,35458.0
100,Prescolaire,Dakar,Total,1970,34193.0
101,Prescolaire,Dakar,Total,1970,37345.0
102,Prescolaire,Dakar,Total,1970,41537.0
103,Prescolaire,Dakar,Total,1970,45674.0
104,Prescolaire,Dakar,Total,1970,47310.0
105,Prescolaire,Dakar,Total,1970,52381.0
106,Prescolaire,Dakar,Total,1970,56024.0
107,Prescolaire,Dakar,Total,1970,56733.0
108,Prescolaire,Dakar,Total,1970,60534.0
109,Prescolaire,Dakar,Total,1970,64950.0
110,Prescolaire,Dakar,Total,1970,69491.0
111,Prescolaire,Dakar,Total,1970,72115.0
112,Prescolaire,Dakar,Masculin,1970,4595.0
113,Prescolaire,Dakar,Masculin,1970,4501.0
114,Prescolaire,Dakar,Masculin,1970,4549.0
115,Prescolaire,Dakar,Masculin,1970,4395.0
116,Prescolaire,Dakar,Masculin,1970,4665.0
117,Prescolaire,Dakar,Masculin,1970,5110.0
118,Prescolaire,Dakar,Masculin,1970,4221.0
119,Prescolaire,Dakar,Masculin,1970,4711.0
120,Prescolaire,Dakar,Masculin,1970,5630.0
121,Prescolaire,Dakar,Masculin,1970,5627.0
122,Prescolaire,Dakar,Masculin,1970,7874.0
123,Prescolaire,Dakar,Masculin,1970,5849.0
124,Prescolaire,Dakar,Masculin,1970,9529.0
125,Prescolaire,Dakar,Masculin,1970,12813.0
126,Prescolaire,Dakar,Masculin,1970,15473.0
127,Prescolaire,Dakar,Masculin,1970,17526.0
128,Prescolaire,Dakar,Masculin,1970,16441.0
129,Prescolaire,Dakar,Masculin,1970,17976.0
130,Prescolaire,Dakar,Masculin,1970,19987.0
131,Prescolaire,Dakar,Masculin,1970,22356.0
132,Prescolaire,Dakar,Masculin,1970,22941.0
133,Prescolaire,Dakar,Masculin,1970,25481.0
134,Prescolaire,Dakar,Masculin,1970,26982.0
135,Prescolaire,Dakar,Masculin,1970,27349.0
136,Prescolaire,Dakar,Masculin,1970,29257.0
137,Prescolaire,Dakar,Masculin,1970,31428.0
138,Prescolaire,Dakar,Masculin,1970,33656.0
139,Prescolaire,Dakar,Masculin,1970,35097.0
140,Prescolaire,Dakar,Féminin,1970,4687.0
141,Prescolaire,Dakar,Féminin,1970,4528.0
142,Prescolaire,Dakar,Féminin,1970,4608.0
143,Prescolaire,Dakar,Féminin,1970,4375.0
144,Prescolaire,Dakar,Féminin,1970,4735.0
145,Prescolaire,Dakar,Féminin,1970,4747.0
146,Prescolaire,Dakar,Féminin,1970,4287.0
147,Prescolaire,Dakar,Féminin,1970,4885.0
148,Prescolaire,Dakar,Féminin,1970,5879.0
149,Prescolaire,Dakar,Féminin,1970,5761.0
150,Prescolaire,Dakar,Féminin,1970,8640.0
151,Prescolaire,Dakar,Féminin,1970,6475.0
152,Prescolaire,Dakar,Féminin,1970,10324.0
153,Prescolaire,Dakar,Féminin,1970,13755.0
154,Prescolaire,Dakar,Féminin,1970,16437.0
155,Prescolaire,Dakar,Féminin,1970,17932.0
156,Prescolaire,Dakar,Féminin,1970,17752.0
157,Prescolaire,Dakar,Féminin,1970,19369.0
158,Prescolaire,Dakar,Féminin,1970,21550.0
159,Prescolaire,Dakar,Féminin,1970,23318.0
160,Prescolaire,Dakar,Féminin,1970,24369.0
161,Prescolaire,Dakar,Féminin,1970,26900.0
162,Prescolaire,Dakar,Féminin,1970,29042.0
163,Prescolaire,Dakar,Féminin,1970,29384.0
164,Prescolaire,Dakar,Féminin,1970,31277.0
165,Prescolaire,Dakar,Féminin,1970,33522.0
166,Prescolaire,Dakar,Féminin,1970,35835.0
167,Prescolaire,Dakar,Féminin,1970,37018.0
168,Prescolaire,Diourbel,Total,1970,536.0
169,Prescolaire,Diourbel,Total,1970,532.0
170,Prescolaire,Diourbel,Total,1970,584.0
171,Prescolaire,Diourbel,Total,1970,596.0
172,Prescolaire,Diourbel,Total,1970,603.0
173,Prescolaire,Diourbel,Total,1970,672.0
174,Prescolaire,Diourbel,Total,1970,612.0
175,Prescolaire,Diourbel,Total,1970,677.0
176,Prescolaire,Diourbel,Total,1970,716.0
177,Prescolaire,Diourbel,Total,1970,669.0
178,Prescolaire,Diourbel,Total,1970,650.0
179,Prescolaire,Diourbel,Total,1970,783.0
180,Prescolaire,Diourbel,Total,1970,822.0
181,Prescolaire,Diourbel,Total,1970,1236.0
182,Prescolaire,Diourbel,Total,1970,3602.0
183,Prescolaire,Diourbel,Total,1970,5024.0
184,Prescolaire,Diourbel,Total,1970,4676.0
185,Prescolaire,Diourbel,Total,1970,5755.0
186,Prescolaire,Diourbel,Total,1970,6464.0
187,Prescolaire,Diourbel,Total,1970,8027.0
188,Prescolaire,Diourbel,Total,1970,8704.0
189,Prescolaire,Diourbel,Total,1970,8620.0
190,Prescolaire,Diourbel,Total,1970,9508.0
191,Prescolaire,Diourbel,Total,1970,9922.0
192,Prescolaire,Diourbel,Total,1970,10593.0
193,Prescolaire,Diourbel,Total,1970,12096.0
194,Prescolaire,Diourbel,Total,1970,11752.0
195,Prescolaire,Diourbel,Total,1970,13152.0
196,Prescolaire,Diourbel,Masculin,1970,267.0
197,Prescolaire,Diourbel,Masculin,1970,254.0
198,Prescolaire,Diourbel,Masculin,1970,261.0
199,Prescolaire,Diourbel,Masculin,1970,263.0
200,Prescolaire,Diourbel,Masculin,1970,263.0
201,Prescolaire,Diourbel,Masculin,1970,317.0
202,Prescolaire,Diourbel,Masculin,1970,271.0
203,Prescolaire,Diourbel,Masculin,1970,304.0
204,Prescolaire,Diourbel,Masculin,1970,342.0
205,Prescolaire,Diourbel,Masculin,1970,327.0
206,Prescolaire,Diourbel,Masculin,1970,318.0
207,Prescolaire,Diourbel,Masculin,1970,369.0
208,Prescolaire,Diourbel,Masculin,1970,370.0
209,Prescolaire,Diourbel,Masculin,1970,565.0
210,Prescolaire,Diourbel,Masculin,1970,1570.0
211,Prescolaire,Diourbel,Masculin,1970,2071.0
212,Prescolaire,Diourbel,Masculin,1970,1929.0
213,Prescolaire,Diourbel,Masculin,1970,2363.0
214,Prescolaire,Diourbel,Masculin,1970,2733.0
215,Prescolaire,Diourbel,Masculin,1970,3401.0
216,Prescolaire,Diourbel,Masculin,1970,3684.0
217,Prescolaire,Diourbel,Masculin,1970,3712.0
218,Prescolaire,Diourbel,Masculin,1970,4177.0
219,Prescolaire,Diourbel,Masculin,1970,4338.0
220,Prescolaire,Diourbel,Masculin,1970,4620.0
221,Prescolaire,Diourbel,Masculin,1970,5398.0
222,Prescolaire,Diourbel,Masculin,1970,5181.0
223,Prescolaire,Diourbel,Masculin,1970,5596.0
224,Prescolaire,Diourbel,Féminin,1970,269.0
225,Prescolaire,Diourbel,Féminin,1970,278.0
226,Prescolaire,Diourbel,Féminin,1970,323.0
227,Prescolaire,Diourbel,Féminin,1970,333.0
228,Prescolaire,Diourbel,Féminin,1970,340.0
229,Prescolaire,Diourbel,Féminin,1970,355.0
230,Prescolaire,Diourbel,Féminin,1970,341.0
231,Prescolaire,Diourbel,Féminin,1970,373.0
232,Prescolaire,Diourbel,Féminin,1970,374.0
233,Prescolaire,Diourbel,Féminin,1970,342.0
234,Prescolaire,Diourbel,Féminin,1970,332.0
235,Prescolaire,Diourbel,Féminin,1970,414.0
236,Prescolaire,Diourbel,Féminin,1970,452.0
237,Prescolaire,Diourbel,Féminin,1970,671.0
238,Prescolaire,Diourbel,Féminin,1970,2032.0
239,Prescolaire,Diourbel,Féminin,1970,2953.0
240,Prescolaire,Diourbel,Féminin,1970,2747.0
241,Prescolaire,Diourbel,Féminin,1970,3392.0
242,Prescolaire,Diourbel,Féminin,1970,3731.0
243,Prescolaire,Diourbel,Féminin,1970,4626.0
244,Prescolaire,Diourbel,Féminin,1970,5020.0
245,Prescolaire,Diourbel,Féminin,1970,4908.0
246,Prescolaire,Diourbel,Féminin,1970,5331.0
247,Prescolaire,Diourbel,Féminin,1970,5584.0
248,Prescolaire,Diourbel,Féminin,1970,5973.0
249,Prescolaire,Diourbel,Féminin,1970,6698.0
250,Prescolaire,Diourbel,Féminin,1970,6571.0
251,Prescolaire,Diourbel,Féminin,1970,7556.0
252,Prescolaire,Fatick,Total,1970,398.0
253,Prescolaire,Fatick,Total,1970,373.0
254,Prescolaire,Fatick,Total,1970,376.0
255,Prescolaire,Fatick,Total,1970,392.0
256,Prescolaire,Fatick,Total,1970,487.0
257,Prescolaire,Fatick,Total,1970,646.0
258,Prescolaire,Fatick,Total,1970,534.0
259,Prescolaire,Fatick,Total,1970,524.0
260,Prescolaire,Fatick,Total,1970,209.0
261,Prescolaire,Fatick,Total,1970,792.0
262,Prescolaire,Fatick,Total,1970,755.0
263,Prescolaire,Fatick,Total,1970,633.0
264,Prescolaire,Fatick,Total,1970,572.0
265,Prescolaire,Fatick,Total,1970,772.0
266,Prescolaire,Fatick,Total,1970,3841.0
267,Prescolaire,Fatick,Total,1970,4667.0
268,Prescolaire,Fatick,Total,1970,5371.0
269,Prescolaire,Fatick,Total,1970,6343.0
270,Prescolaire,Fatick,Total,1970,6927.0
271,Prescolaire,Fatick,Total,1970,7097.0
272,Prescolaire,Fatick,Total,1970,7160.0
273,Prescolaire,Fatick,Total,1970,6744.0
274,Prescolaire,Fatick,Total,1970,7562.0
275,Prescolaire,Fatick,Total,1970,7925.0
276,Prescolaire,Fatick,Total,1970,8842.0
277,Prescolaire,Fatick,Total,1970,9268.0
278,Prescolaire,Fatick,Total,1970,9788.0
279,Prescolaire,Fatick,Total,1970,10131.0
280,Prescolaire,Fatick,Masculin,1970,210.0
281,Prescolaire,Fatick,Masculin,1970,198.0
282,Prescolaire,Fatick,Masculin,1970,203.0
283,Prescolaire,Fatick,Masculin,1970,213.0
284,Prescolaire,Fatick,Masculin,1970,259.0
285,Prescolaire,Fatick,Masculin,1970,363.0
286,Prescolaire,Fatick,Masculin,1970,250.0
287,Prescolaire,Fatick,Masculin,1970,248.0
288,Prescolaire,Fatick,Masculin,1970,91.0
289,Prescolaire,Fatick,Masculin,1970,323.0
290,Prescolaire,Fatick,Masculin,1970,360.0
291,Prescolaire,Fatick,Masculin,1970,316.0
292,Prescolaire,Fatick,Masculin,1970,280.0
293,Prescolaire,Fatick,Masculin,1970,372.0
294,Prescolaire,Fatick,Masculin,1970,1839.0
295,Prescolaire,Fatick,Masculin,1970,2228.0
296,Prescolaire,Fatick,Masculin,1970,2585.0
297,Prescolaire,Fatick,Masculin,1970,2973.0
298,Prescolaire,Fatick,Masculin,1970,3344.0
299,Prescolaire,Fatick,Masculin,1970,3285.0
300,Prescolaire,Fatick,Masculin,1970,3433.0
301,Prescolaire,Fatick,Masculin,1970,3128.0
302,Prescolaire,Fatick,Masculin,1970,3854.0
303,Prescolaire,Fatick,Masculin,1970,3773.0
304,Prescolaire,Fatick,Masculin,1970,4276.0
305,Prescolaire,Fatick,Masculin,1970,4372.0
306,Prescolaire,Fatick,Masculin,1970,4661.0
307,Prescolaire,Fatick,Masculin,1970,4857.0
308,Prescolaire,Fatick,Féminin,1970,188.0
309,Prescolaire,Fatick,Féminin,1970,175.0
310,Prescolaire,Fatick,Féminin,1970,173.0
311,Prescolaire,Fatick,Féminin,1970,179.0
312,Prescolaire,Fatick,Féminin,1970,228.0
313,Prescolaire,Fatick,Féminin,1970,283.0
314,Prescolaire,Fatick,Féminin,1970,284.0
315,Prescolaire,Fatick,Féminin,1970,276.0
316,Prescolaire,Fatick,Féminin,1970,118.0
317,Prescolaire,Fatick,Féminin,1970,469.0
318,Prescolaire,Fatick,Féminin,1970,395.0
319,Prescolaire,Fatick,Féminin,1970,317.0
320,Prescolaire,Fatick,Féminin,1970,292.0
321,Prescolaire,Fatick,Féminin,1970,400.0
322,Prescolaire,Fatick,Féminin,1970,2002.0
323,Prescolaire,Fatick,Féminin,1970,2439.0
324,Prescolaire,Fatick,Féminin,1970,2786.0
325,Prescolaire,Fatick,Féminin,1970,3370.0
326,Prescolaire,Fatick,Féminin,1970,3583.0
327,Prescolaire,Fatick,Féminin,1970,3812.0
328,Prescolaire,Fatick,Féminin,1970,3727.0
329,Prescolaire,Fatick,Féminin,1970,3616.0
330,Prescolaire,Fatick,Féminin,1970,3708.0
331,Prescolaire,Fatick,Féminin,1970,4152.0
332,Prescolaire,Fatick,Féminin,1970,4566.0
333,Prescolaire,Fatick,Féminin,1970,4896.0
334,Prescolaire,Fatick,Féminin,1970,5127.0
335,Prescolaire,Fatick,Féminin,1970,5274.0
336,Prescolaire,Kaffrine,Total,1970,1462.0
337,Prescolaire,Kaffrine,Total,1970,1868.0
338,Prescolaire,Kaffrine,Total,1970,2282.0
339,Prescolaire,Kaffrine,Total,1970,2700.0
340,Prescolaire,Kaffrine,Total,1970,3031.0
341,Prescolaire,Kaffrine,Total,1970,3466.0
342,Prescolaire,Kaffrine,Total,1970,3568.0
343,Prescolaire,Kaffrine,Total,1970,3506.0
344,Prescolaire,Kaffrine,Total,1970,3909.0
345,Prescolaire,Kaffrine,Masculin,1970,653.0
346,Prescolaire,Kaffrine,Masculin,1970,825.0
347,Prescolaire,Kaffrine,Masculin,1970,998.0
348,Prescolaire,Kaffrine,Masculin,1970,1130.0
349,Prescolaire,Kaffrine,Masculin,1970,1295.0
350,Prescolaire,Kaffrine,Masculin,1970,1563.0
351,Prescolaire,Kaffrine,Masculin,1970,1563.0
352,Prescolaire,Kaffrine,Masculin,1970,1606.0
353,Prescolaire,Kaffrine,Masculin,1970,1728.0
354,Prescolaire,Kaffrine,Féminin,1970,809.0
355,Prescolaire,Kaffrine,Féminin,1970,1043.0
356,Prescolaire,Kaffrine,Féminin,1970,1284.0
357,Prescolaire,Kaffrine,Féminin,1970,1570.0
358,Prescolaire,Kaffrine,Féminin,1970,1736.0
359,Prescolaire,Kaffrine,Féminin,1970,1903.0
360,Prescolaire,Kaffrine,Féminin,1970,2005.0
361,Prescolaire,Kaffrine,Féminin,1970,1900.0
362,Prescolaire,Kaffrine,Féminin,1970,2181.0
363,Prescolaire,Kaolack,Total,1970,862.0
364,Prescolaire,Kaolack,Total,1970,803.0
365,Prescolaire,Kaolack,Total,1970,831.0
366,Prescolaire,Kaolack,Total,1970,838.0
367,Prescolaire,Kaolack,Total,1970,956.0
368,Prescolaire,Kaolack,Total,1970,850.0
369,Prescolaire,Kaolack,Total,1970,1054.0
370,Prescolaire,Kaolack,Total,1970,1020.0
371,Prescolaire,Kaolack,Total,1970,461.0
372,Prescolaire,Kaolack,Total,1970,1148.0
373,Prescolaire,Kaolack,Total,1970,1148.0
374,Prescolaire,Kaolack,Total,1970,1846.0
375,Prescolaire,Kaolack,Total,1970,1969.0
376,Prescolaire,Kaolack,Total,1970,2433.0
377,Prescolaire,Kaolack,Total,1970,3151.0
378,Prescolaire,Kaolack,Total,1970,3504.0
379,Prescolaire,Kaolack,Total,1970,4538.0
380,Prescolaire,Kaolack,Total,1970,4977.0
381,Prescolaire,Kaolack,Total,1970,5498.0
382,Prescolaire,Kaolack,Total,1970,6431.0
383,Prescolaire,Kaolack,Total,1970,6953.0
384,Prescolaire,Kaolack,Total,1970,7597.0
385,Prescolaire,Kaolack,Total,1970,8782.0
386,Prescolaire,Kaolack,Total,1970,9022.0
387,Prescolaire,Kaolack,Total,1970,9532.0
388,Prescolaire,Kaolack,Total,1970,9484.0
389,Prescolaire,Kaolack,Total,1970,9492.0
390,Prescolaire,Kaolack,Total,1970,9917.0
391,Prescolaire,Kaolack,Masculin,1970,425.0
392,Prescolaire,Kaolack,Masculin,1970,424.0
393,Prescolaire,Kaolack,Masculin,1970,437.0
394,Prescolaire,Kaolack,Masculin,1970,438.0
395,Prescolaire,Kaolack,Masculin,1970,499.0
396,Prescolaire,Kaolack,Masculin,1970,398.0
397,Prescolaire,Kaolack,Masculin,1970,527.0
398,Prescolaire,Kaolack,Masculin,1970,505.0
399,Prescolaire,Kaolack,Masculin,1970,221.0
400,Prescolaire,Kaolack,Masculin,1970,540.0
401,Prescolaire,Kaolack,Masculin,1970,500.0
402,Prescolaire,Kaolack,Masculin,1970,770.0
403,Prescolaire,Kaolack,Masculin,1970,886.0
404,Prescolaire,Kaolack,Masculin,1970,1127.0
405,Prescolaire,Kaolack,Masculin,1970,1443.0
406,Prescolaire,Kaolack,Masculin,1970,1591.0
407,Prescolaire,Kaolack,Masculin,1970,2036.0
408,Prescolaire,Kaolack,Masculin,1970,2273.0
409,Prescolaire,Kaolack,Masculin,1970,2434.0
410,Prescolaire,Kaolack,Masculin,1970,2829.0
411,Prescolaire,Kaolack,Masculin,1970,3145.0
412,Prescolaire,Kaolack,Masculin,1970,3517.0
413,Prescolaire,Kaolack,Masculin,1970,4009.0
414,Prescolaire,Kaolack,Masculin,1970,4143.0
415,Prescolaire,Kaolack,Masculin,1970,4389.0
416,Prescolaire,Kaolack,Masculin,1970,4317.0
417,Prescolaire,Kaolack,Masculin,1970,4331.0
418,Prescolaire,Kaolack,Masculin,1970,4574.0
419,Prescolaire,Kaolack,Féminin,1970,437.0
420,Prescolaire,Kaolack,Féminin,1970,379.0
421,Prescolaire,Kaolack,Féminin,1970,394.0
422,Prescolaire,Kaolack,Féminin,1970,400.0
423,Prescolaire,Kaolack,Féminin,1970,457.0
424,Prescolaire,Kaolack,Féminin,1970,452.0
425,Prescolaire,Kaolack,Féminin,1970,527.0
426,Prescolaire,Kaolack,Féminin,1970,515.0
427,Prescolaire,Kaolack,Féminin,1970,240.0
428,Prescolaire,Kaolack,Féminin,1970,608.0
429,Prescolaire,Kaolack,Féminin,1970,648.0
430,Prescolaire,Kaolack,Féminin,1970,1076.0
431,Prescolaire,Kaolack,Féminin,1970,1083.0
432,Prescolaire,Kaolack,Féminin,1970,1306.0
433,Prescolaire,Kaolack,Féminin,1970,1708.0
434,Prescolaire,Kaolack,Féminin,1970,1913.0
435,Prescolaire,Kaolack,Féminin,1970,2502.0
436,Prescolaire,Kaolack,Féminin,1970,2704.0
437,Prescolaire,Kaolack,Féminin,1970,3064.0
438,Prescolaire,Kaolack,Féminin,1970,3602.0
439,Prescolaire,Kaolack,Féminin,1970,3808.0
440,Prescolaire,Kaolack,Féminin,1970,4080.0
441,Prescolaire,Kaolack,Féminin,1970,4773.0
442,Prescolaire,Kaolack,Féminin,1970,4879.0
443,Prescolaire,Kaolack,Féminin,1970,5143.0
444,Prescolaire,Kaolack,Féminin,1970,5167.0
445,Prescolaire,Kaolack,Féminin,1970,5161.0
446,Prescolaire,Kaolack,Féminin,1970,5343.0
447,Prescolaire,Kédougou,Total,1970,1156.0
448,Prescolaire,Kédougou,Total,1970,1643.0
449,Prescolaire,Kédougou,Total,1970,2469.0
450,Prescolaire,Kédougou,Total,1970,2397.0
451,Prescolaire,Kédougou,Total,1970,3056.0
452,Prescolaire,Kédougou,Total,1970,2908.0
453,Prescolaire,Kédougou,Total,1970,2811.0
454,Prescolaire,Kédougou,Total,1970,3159.0
455,Prescolaire,Kédougou,Total,1970,3081.0
456,Prescolaire,Kédougou,Masculin,1970,591.0
