,indice,région,département,Value
1,INDICE_RIMA,Dakar,DAKAR,80.85
2,INDICE_RIMA,Dakar,Dakar,83.1
3,INDICE_RIMA,Dakar,Guediawaye,80.9
4,INDICE_RIMA,Dakar,Pikine,80.66
5,INDICE_RIMA,Dakar,Rufisque,76.89
6,INDICE_RIMA,Diourbel,DIOUBEL,80.73
7,INDICE_RIMA,Diourbel,Bambey,83.8
8,INDICE_RIMA,Diourbel,Diourbel,75.12
9,INDICE_RIMA,Diourbel,Mbacke,78.48
10,INDICE_RIMA,Fatick,FATICK,72.35
11,INDICE_RIMA,Fatick,Fatick,65.46
12,INDICE_RIMA,Fatick,Foundiougne,76.63
13,INDICE_RIMA,Fatick,Gossas,74.73
14,INDICE_RIMA,Kaffrine,KAFFRINE,74.5
15,INDICE_RIMA,Kaffrine,Birkelane,74.33
16,INDICE_RIMA,Kaffrine,Kaffrine,74.46
17,INDICE_RIMA,Kaffrine,Koungheul,72.59
18,INDICE_RIMA,Kaffrine,Malem Hodar,74.96
19,INDICE_RIMA,Kaolack,KAOLACK,76.65
20,INDICE_RIMA,Kaolack,Guinguineo,76.91
21,INDICE_RIMA,Kaolack,Kaolack,77.29
22,INDICE_RIMA,Kaolack,Nioro,76.26
23,INDICE_RIMA,Kédougou,KEDOUGOU,59.9
24,INDICE_RIMA,Kédougou,Kedougou,60.24
25,INDICE_RIMA,Kédougou,salemata,56.03
26,INDICE_RIMA,Kédougou,Saraya,69.44
27,INDICE_RIMA,Kolda,KOLDA,71.54
28,INDICE_RIMA,Kolda,Kolda,67.9
29,INDICE_RIMA,Kolda,Medina Yoro Foulah,78.25
30,INDICE_RIMA,Kolda,Velingara,71.5
31,INDICE_RIMA,Louga,LOUGA,73.59
32,INDICE_RIMA,Louga,Kebemer,77.7
33,INDICE_RIMA,Louga,Linguere,74.28
34,INDICE_RIMA,Louga,Louga,71.56
35,INDICE_RIMA,Matam,MATAM,66.86
36,INDICE_RIMA,Matam,Kanel,68.24
37,INDICE_RIMA,Matam,Matam,72.77
38,INDICE_RIMA,Matam,Ranerou,64.45
39,INDICE_RIMA,Saint-Louis,SAINT-LOUIS,79.26
40,INDICE_RIMA,Saint-Louis,Dagana,81.44
41,INDICE_RIMA,Saint-Louis,Podor,76.49
42,INDICE_RIMA,Saint-Louis,Saint Louis,79.43
43,INDICE_RIMA,Sédhiou,SEDHIOU,74.09
44,INDICE_RIMA,Sédhiou,Bounkiling,74.2
45,INDICE_RIMA,Sédhiou,Goudomp,74.2
46,INDICE_RIMA,Sédhiou,Sedhiou,73.57
47,INDICE_RIMA,Tambacounda,TAMBACOUNDA,77.6
48,INDICE_RIMA,Tambacounda,Bakel,78.74
49,INDICE_RIMA,Tambacounda,Goudiry,72.85
50,INDICE_RIMA,Tambacounda,Koumpentoum,81.91
51,INDICE_RIMA,Tambacounda,Tambacounda,69.1
52,INDICE_RIMA,Thiès,THIES,77.83
53,INDICE_RIMA,Thiès,Mbour,76.34
54,INDICE_RIMA,Thiès,Thies,76.34
55,INDICE_RIMA,Thiès,Tivaoune,79.77
56,INDICE_RIMA,Ziguinchor,ZIGUINCHOR,75.42
57,INDICE_RIMA,Ziguinchor,Bignona,75.96
58,INDICE_RIMA,Ziguinchor,Oussouye,67.92
59,INDICE_RIMA,Ziguinchor,Ziguinchor,86.05
121,INDICE_AMR,Dakar,DAKAR,59.73
122,INDICE_AMR,Dakar,Dakar,56.33
123,INDICE_AMR,Dakar,Guediawaye,62.86
124,INDICE_AMR,Dakar,Pikine,61.28
125,INDICE_AMR,Dakar,Rufisque,57.86
126,INDICE_AMR,Diourbel,DIOUBEL,66.1
127,INDICE_AMR,Diourbel,Bambey,73.06
128,INDICE_AMR,Diourbel,Diourbel,56.9
129,INDICE_AMR,Diourbel,Mbacke,57.05
130,INDICE_AMR,Fatick,FATICK,59.66
131,INDICE_AMR,Fatick,Fatick,54.85
132,INDICE_AMR,Fatick,Foundiougne,63.41
133,INDICE_AMR,Fatick,Gossas,60.54
134,INDICE_AMR,Kaffrine,KAFFRINE,59.69
135,INDICE_AMR,Kaffrine,Birkelane,56.65
136,INDICE_AMR,Kaffrine,Kaffrine,66.72
137,INDICE_AMR,Kaffrine,Koungheul,63.89
138,INDICE_AMR,Kaffrine,Malem Hodar,60.7
139,INDICE_AMR,Kaolack,KAOLACK,66.1
140,INDICE_AMR,Kaolack,Guinguineo,66.55
141,INDICE_AMR,Kaolack,Kaolack,68.13
142,INDICE_AMR,Kaolack,Nioro,65.06
143,INDICE_AMR,Kédougou,KEDOUGOU,53.49
144,INDICE_AMR,Kédougou,Kedougou,54.1
145,INDICE_AMR,Kédougou,salemata,51.61
146,INDICE_AMR,Kédougou,Saraya,57.1
147,INDICE_AMR,Kolda,KOLDA,61.26
148,INDICE_AMR,Kolda,Kolda,59.73
149,INDICE_AMR,Kolda,Medina Yoro Foulah,61.39
150,INDICE_AMR,Kolda,Velingara,62.91
151,INDICE_AMR,Louga,LOUGA,56.08
152,INDICE_AMR,Louga,Kebemer,62.47
153,INDICE_AMR,Louga,Linguere,55.17
154,INDICE_AMR,Louga,Louga,54.53
155,INDICE_AMR,Matam,MATAM,59.72
156,INDICE_AMR,Matam,Kanel,56.48
