,indicator,Date,Value
0,Taux d'activité,2015,53.5
1,Taux d'activité,2016,56.1
2,Taux d'activité,2016,61.2
3,Taux d'activité,2016,57.7
4,Taux d'activité,2017,46.1
5,Taux d'activité,2017,55.4
6,Taux d'activité,2017,55.1
7,Taux d'activité,2017,55.3
8,Taux d'activité,2018,53.0
9,Taux d'activité,2018,56.3
10,Taux d'activité,2018,60.0
11,Taux d'activité,2018,61.2
12,Taux d'activité,2019,62.6
13,Taux d'activité,2019,62.9
14,Taux d'activité,2019,61.3
15,Taux d'activité,2019,59.3
16,Taux d'activité,2020,53.6
17,Taux d'activité,2020,50.8
18,Taux d'activité,2020,54.5
19,Taux d'activité,2020,57.9
20,Taux d'activité,2021,60.5
21,Taux d'activité,2021,62.9
22,Taux d'activité,2021,63.7
23,Taux d'activité,2021,58.9
24,Taux d'activité,2022,58.0
25,Taux d'activité,2022,60.0
26,Taux d'activité,2022,59.7
27,Taux d'activité,2022,60.2
28,Taux d'occupation,2015,45.0
29,Taux d'occupation,2016,44.6
30,Taux d'occupation,2016,53.1
31,Taux d'occupation,2016,48.1
32,Taux d'occupation,2017,43.5
33,Taux d'occupation,2017,48.5
34,Taux d'occupation,2017,48.9
35,Taux d'occupation,2017,46.6
36,Taux d'occupation,2018,42.9
37,Taux d'occupation,2018,48.0
38,Taux d'occupation,2018,52.0
40,Taux d'occupation,2019,50.8
41,Taux d'occupation,2019,53.8
42,Taux d'occupation,2019,53.0
43,Taux d'occupation,2019,49.3
44,Taux d'occupation,2020,41.3
45,Taux d'occupation,2020,37.6
46,Taux d'occupation,2020,41.7
47,Taux d'occupation,2020,48.2
48,Taux d'occupation,2021,46.8
49,Taux d'occupation,2021,48.3
50,Taux d'occupation,2021,48.1
51,Taux d'occupation,2021,44.7
52,Taux d'occupation,2022,43.1
53,Taux d'occupation,2022,47.0
54,Taux d'occupation,2022,46.0
56,Taux de chômage,2015,15.7
57,Taux de chômage,2016,24.3
58,Taux de chômage,2016,13.4
59,Taux de chômage,2016,16.5
60,Taux de chômage,2017,22.7
61,Taux de chômage,2017,11.1
62,Taux de chômage,2017,11.2
63,Taux de chômage,2017,15.7
64,Taux de chômage,2018,19.2
65,Taux de chômage,2018,14.7
66,Taux de chômage,2018,13.4
67,Taux de chômage,2018,15.1
68,Taux de chômage,2019,19.0
69,Taux de chômage,2019,14.6
70,Taux de chômage,2019,13.5
71,Taux de chômage,2019,17.0
72,Taux de chômage,2020,22.9
73,Taux de chômage,2020,26.1
74,Taux de chômage,2020,23.4
75,Taux de chômage,2020,16.7
76,Taux de chômage,2021,22.6
77,Taux de chômage,2021,23.2
78,Taux de chômage,2021,24.5
79,Taux de chômage,2021,24.1
80,Taux de chômage,2022,25.8
81,Taux de chômage,2022,22.0
82,Taux de chômage,2022,22.9
83,Taux de chômage,2022,21.9
