,cycle,sexe,Date,Value
0,Secondaire,Total,1970-01-01 00:00:00.000001989,8.7
1,Secondaire,Total,1970-01-01 00:00:00.000001990,9.9
2,Secondaire,Total,1970-01-01 00:00:00.000001991,8.8
3,Secondaire,Total,1970-01-01 00:00:00.000001992,11.0
4,Secondaire,Total,1970-01-01 00:00:00.000001993,10.8
5,Secondaire,Total,1970-01-01 00:00:00.000001994,10.8
6,Secondaire,Total,1970-01-01 00:00:00.000001995,11.1
7,Secondaire,Total,1970-01-01 00:00:00.000001996,10.9
8,Secondaire,Total,1970-01-01 00:00:00.000001997,10.7
9,Secondaire,Total,1970-01-01 00:00:00.000001998,10.3
10,Secondaire,Total,1970-01-01 00:00:00.000001999,10.4
11,Secondaire,Total,1970-01-01 00:00:00.000002000,8.0
12,Secondaire,Total,1970-01-01 00:00:00.000002001,10.4
13,Secondaire,Total,1970-01-01 00:00:00.000002002,11.7
14,Secondaire,Total,1970-01-01 00:00:00.000002003,10.6
15,Secondaire,Total,1970-01-01 00:00:00.000002004,12.2
16,Secondaire,Total,1970-01-01 00:00:00.000002005,12.5
17,Secondaire,Total,1970-01-01 00:00:00.000002006,12.2
18,Secondaire,Total,1970-01-01 00:00:00.000002007,14.1
19,Secondaire,Total,1970-01-01 00:00:00.000002008,15.8
20,Secondaire,Total,1970-01-01 00:00:00.000002009,18.4
21,Secondaire,Total,1970-01-01 00:00:00.000002010,19.6
22,Secondaire,Total,1970-01-01 00:00:00.000002011,21.7
23,Secondaire,Total,1970-01-01 00:00:00.000002012,25.8
24,Secondaire,Total,1970-01-01 00:00:00.000002013,28.6
25,Secondaire,Total,1970-01-01 00:00:00.000002014,31.4
26,Secondaire,Total,1970-01-01 00:00:00.000002015,32.4
27,Secondaire,Total,1970-01-01 00:00:00.000002016,33.5
28,Secondaire,Total,1970-01-01 00:00:00.000002017,34.3
29,Secondaire,Total,1970-01-01 00:00:00.000002018,33.8
30,Secondaire,Masculin,1970-01-01 00:00:00.000001989,12.9
31,Secondaire,Masculin,1970-01-01 00:00:00.000001990,14.5
32,Secondaire,Masculin,1970-01-01 00:00:00.000001991,12.8
33,Secondaire,Masculin,1970-01-01 00:00:00.000001992,15.9
34,Secondaire,Masculin,1970-01-01 00:00:00.000001993,15.6
35,Secondaire,Masculin,1970-01-01 00:00:00.000001994,15.6
36,Secondaire,Masculin,1970-01-01 00:00:00.000001995,15.9
37,Secondaire,Masculin,1970-01-01 00:00:00.000001996,15.3
38,Secondaire,Masculin,1970-01-01 00:00:00.000001997,14.9
39,Secondaire,Masculin,1970-01-01 00:00:00.000001998,14.3
40,Secondaire,Masculin,1970-01-01 00:00:00.000001999,14.2
41,Secondaire,Masculin,1970-01-01 00:00:00.000002000,10.7
42,Secondaire,Masculin,1970-01-01 00:00:00.000002001,14.1
43,Secondaire,Masculin,1970-01-01 00:00:00.000002002,16.0
44,Secondaire,Masculin,1970-01-01 00:00:00.000002003,14.4
45,Secondaire,Masculin,1970-01-01 00:00:00.000002004,16.3
46,Secondaire,Masculin,1970-01-01 00:00:00.000002005,16.5
47,Secondaire,Masculin,1970-01-01 00:00:00.000002006,16.0
48,Secondaire,Masculin,1970-01-01 00:00:00.000002007,17.3
49,Secondaire,Masculin,1970-01-01 00:00:00.000002008,18.7
50,Secondaire,Masculin,1970-01-01 00:00:00.000002009,21.3
51,Secondaire,Masculin,1970-01-01 00:00:00.000002010,22.4
52,Secondaire,Masculin,1970-01-01 00:00:00.000002011,24.3
53,Secondaire,Masculin,1970-01-01 00:00:00.000002012,28.6
54,Secondaire,Masculin,1970-01-01 00:00:00.000002013,31.2
55,Secondaire,Masculin,1970-01-01 00:00:00.000002014,33.4
56,Secondaire,Masculin,1970-01-01 00:00:00.000002015,33.6
57,Secondaire,Masculin,1970-01-01 00:00:00.000002016,34.2
58,Secondaire,Masculin,1970-01-01 00:00:00.000002017,34.2
59,Secondaire,Masculin,1970-01-01 00:00:00.000002018,33.0
60,Secondaire,Féminin,1970-01-01 00:00:00.000001989,5.1
61,Secondaire,Féminin,1970-01-01 00:00:00.000001990,6.0
62,Secondaire,Féminin,1970-01-01 00:00:00.000001991,5.4
63,Secondaire,Féminin,1970-01-01 00:00:00.000001992,6.7
64,Secondaire,Féminin,1970-01-01 00:00:00.000001993,6.7
65,Secondaire,Féminin,1970-01-01 00:00:00.000001994,6.7
66,Secondaire,Féminin,1970-01-01 00:00:00.000001995,6.9
67,Secondaire,Féminin,1970-01-01 00:00:00.000001996,7.0
68,Secondaire,Féminin,1970-01-01 00:00:00.000001997,7.1
69,Secondaire,Féminin,1970-01-01 00:00:00.000001998,6.8
70,Secondaire,Féminin,1970-01-01 00:00:00.000001999,7.2
71,Secondaire,Féminin,1970-01-01 00:00:00.000002000,5.6
72,Secondaire,Féminin,1970-01-01 00:00:00.000002001,7.3
73,Secondaire,Féminin,1970-01-01 00:00:00.000002002,8.0
74,Secondaire,Féminin,1970-01-01 00:00:00.000002003,7.5
75,Secondaire,Féminin,1970-01-01 00:00:00.000002004,8.7
76,Secondaire,Féminin,1970-01-01 00:00:00.000002005,9.2
77,Secondaire,Féminin,1970-01-01 00:00:00.000002006,8.9
78,Secondaire,Féminin,1970-01-01 00:00:00.000002007,11.0
79,Secondaire,Féminin,1970-01-01 00:00:00.000002008,13.0
80,Secondaire,Féminin,1970-01-01 00:00:00.000002009,15.6
81,Secondaire,Féminin,1970-01-01 00:00:00.000002010,16.7
82,Secondaire,Féminin,1970-01-01 00:00:00.000002011,18.9
83,Secondaire,Féminin,1970-01-01 00:00:00.000002012,22.9
84,Secondaire,Féminin,1970-01-01 00:00:00.000002013,25.9
85,Secondaire,Féminin,1970-01-01 00:00:00.000002014,29.2
86,Secondaire,Féminin,1970-01-01 00:00:00.000002015,31.2
87,Secondaire,Féminin,1970-01-01 00:00:00.000002016,32.8
88,Secondaire,Féminin,1970-01-01 00:00:00.000002017,34.3
89,Secondaire,Féminin,1970-01-01 00:00:00.000002018,34.5
90,Moyen,Total,1970-01-01 00:00:00.000001978,14.2
91,Moyen,Total,1970-01-01 00:00:00.000001979,14.2
92,Moyen,Total,1970-01-01 00:00:00.000001980,14.5
93,Moyen,Total,1970-01-01 00:00:00.000001981,14.9
94,Moyen,Total,1970-01-01 00:00:00.000001982,15.7
95,Moyen,Total,1970-01-01 00:00:00.000001983,16.7
96,Moyen,Total,1970-01-01 00:00:00.000001984,16.7
97,Moyen,Total,1970-01-01 00:00:00.000001985,17.3
98,Moyen,Total,1970-01-01 00:00:00.000001986,17.8
99,Moyen,Total,1970-01-01 00:00:00.000001987,17.9
100,Moyen,Total,1970-01-01 00:00:00.000001988,18.1
101,Moyen,Total,1970-01-01 00:00:00.000001989,20.4
102,Moyen,Total,1970-01-01 00:00:00.000001990,20.5
103,Moyen,Total,1970-01-01 00:00:00.000001991,20.7
104,Moyen,Total,1970-01-01 00:00:00.000001992,21.0
105,Moyen,Total,1970-01-01 00:00:00.000001993,20.1
106,Moyen,Total,1970-01-01 00:00:00.000001994,19.9
107,Moyen,Total,1970-01-01 00:00:00.000001995,20.4
108,Moyen,Total,1970-01-01 00:00:00.000001996,20.3
109,Moyen,Total,1970-01-01 00:00:00.000001997,20.1
110,Moyen,Total,1970-01-01 00:00:00.000001998,20.0
111,Moyen,Total,1970-01-01 00:00:00.000001999,21.8
112,Moyen,Total,1970-01-01 00:00:00.000002000,22.6
113,Moyen,Total,1970-01-01 00:00:00.000002001,23.1
114,Moyen,Total,1970-01-01 00:00:00.000002002,24.4
115,Moyen,Total,1970-01-01 00:00:00.000002003,26.3
116,Moyen,Total,1970-01-01 00:00:00.000002004,29.4
117,Moyen,Total,1970-01-01 00:00:00.000002005,31.9
118,Moyen,Total,1970-01-01 00:00:00.000002006,35.2
119,Moyen,Total,1970-01-01 00:00:00.000002007,35.9
120,Moyen,Total,1970-01-01 00:00:00.000002008,39.2
121,Moyen,Total,1970-01-01 00:00:00.000002009,41.4
122,Moyen,Total,1970-01-01 00:00:00.000002010,45.7
123,Moyen,Total,1970-01-01 00:00:00.000002011,53.2
124,Moyen,Total,1970-01-01 00:00:00.000002012,56.4
125,Moyen,Total,1970-01-01 00:00:00.000002013,58.0
126,Moyen,Total,1970-01-01 00:00:00.000002014,58.3
127,Moyen,Total,1970-01-01 00:00:00.000002015,57.7
128,Moyen,Total,1970-01-01 00:00:00.000002016,53.9
129,Moyen,Total,1970-01-01 00:00:00.000002017,50.6
130,Moyen,Total,1970-01-01 00:00:00.000002018,49.5
131,Moyen,Masculin,1970-01-01 00:00:00.000001978,19.0
132,Moyen,Masculin,1970-01-01 00:00:00.000001979,19.5
133,Moyen,Masculin,1970-01-01 00:00:00.000001980,19.8
134,Moyen,Masculin,1970-01-01 00:00:00.000001981,20.2
135,Moyen,Masculin,1970-01-01 00:00:00.000001982,21.1
136,Moyen,Masculin,1970-01-01 00:00:00.000001983,22.7
137,Moyen,Masculin,1970-01-01 00:00:00.000001984,22.8
138,Moyen,Masculin,1970-01-01 00:00:00.000001985,23.6
139,Moyen,Masculin,1970-01-01 00:00:00.000001986,24.3
140,Moyen,Masculin,1970-01-01 00:00:00.000001987,24.4
141,Moyen,Masculin,1970-01-01 00:00:00.000001988,24.6
142,Moyen,Masculin,1970-01-01 00:00:00.000001989,27.9
143,Moyen,Masculin,1970-01-01 00:00:00.000001990,27.8
144,Moyen,Masculin,1970-01-01 00:00:00.000001991,27.8
145,Moyen,Masculin,1970-01-01 00:00:00.000001992,28.1
146,Moyen,Masculin,1970-01-01 00:00:00.000001993,26.7
147,Moyen,Masculin,1970-01-01 00:00:00.000001994,26.0
148,Moyen,Masculin,1970-01-01 00:00:00.000001995,26.5
149,Moyen,Masculin,1970-01-01 00:00:00.000001996,26.0
150,Moyen,Masculin,1970-01-01 00:00:00.000001997,25.7
151,Moyen,Masculin,1970-01-01 00:00:00.000001998,25.4
152,Moyen,Masculin,1970-01-01 00:00:00.000001999,27.3
153,Moyen,Masculin,1970-01-01 00:00:00.000002000,28.1
154,Moyen,Masculin,1970-01-01 00:00:00.000002001,28.7
155,Moyen,Masculin,1970-01-01 00:00:00.000002002,29.8
156,Moyen,Masculin,1970-01-01 00:00:00.000002003,31.9
157,Moyen,Masculin,1970-01-01 00:00:00.000002004,35.0
158,Moyen,Masculin,1970-01-01 00:00:00.000002005,37.4
159,Moyen,Masculin,1970-01-01 00:00:00.000002006,41.1
160,Moyen,Masculin,1970-01-01 00:00:00.000002007,38.7
161,Moyen,Masculin,1970-01-01 00:00:00.000002008,42.7
162,Moyen,Masculin,1970-01-01 00:00:00.000002009,44.0
163,Moyen,Masculin,1970-01-01 00:00:00.000002010,47.6
164,Moyen,Masculin,1970-01-01 00:00:00.000002011,54.0
165,Moyen,Masculin,1970-01-01 00:00:00.000002012,56.2
166,Moyen,Masculin,1970-01-01 00:00:00.000002013,57.1
167,Moyen,Masculin,1970-01-01 00:00:00.000002014,55.7
168,Moyen,Masculin,1970-01-01 00:00:00.000002015,55.0
169,Moyen,Masculin,1970-01-01 00:00:00.000002016,50.7
170,Moyen,Masculin,1970-01-01 00:00:00.000002017,47.0
171,Moyen,Masculin,1970-01-01 00:00:00.000002018,45.9
172,Moyen,Féminin,1970-01-01 00:00:00.000001978,9.5
173,Moyen,Féminin,1970-01-01 00:00:00.000001979,9.3
174,Moyen,Féminin,1970-01-01 00:00:00.000001980,9.4
175,Moyen,Féminin,1970-01-01 00:00:00.000001981,9.9
176,Moyen,Féminin,1970-01-01 00:00:00.000001982,10.7
177,Moyen,Féminin,1970-01-01 00:00:00.000001983,11.2
178,Moyen,Féminin,1970-01-01 00:00:00.000001984,11.1
