,region,indicateur,Unit,Value
0,Dakar,Pourcentage utilisant des toilettes non ameliorees,%,1.5
1,Ziguinchor,Pourcentage utilisant des toilettes non ameliorees,%,50.8
2,Diourbel,Pourcentage utilisant des toilettes non ameliorees,%,35.5
3,Saint-Louis,Pourcentage utilisant des toilettes non ameliorees,%,34.5
4,Tambacounda,Pourcentage utilisant des toilettes non ameliorees,%,73.7
5,Kaolack,Pourcentage utilisant des toilettes non ameliorees,%,39.3
6,Thiès,Pourcentage utilisant des toilettes non ameliorees,%,25.6
7,Louga,Pourcentage utilisant des toilettes non ameliorees,%,29.1
8,Fatick,Pourcentage utilisant des toilettes non ameliorees,%,58.0
9,Kolda,Pourcentage utilisant des toilettes non ameliorees,%,83.3
10,Matam,Pourcentage utilisant des toilettes non ameliorees,%,47.2
11,Kaffrine,Pourcentage utilisant des toilettes non ameliorees,%,75.5
12,Kédougou,Pourcentage utilisant des toilettes non ameliorees,%,82.4
13,Sédhiou,Pourcentage utilisant des toilettes non ameliorees,%,87.6
